7.8025 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
10.7843 	EXP 	Created clock = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='clock', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.9, 0.9]), texRes=128, units='height', win=Window(...))
10.7845 	EXP 	window1: mouseVisible = True
11.2066 	EXP 	Created fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='images/00.png', interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.9, 0.9]), texRes=128, units='height', win=Window(...))
11.2067 	EXP 	window1: mouseVisible = True
11.2090 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.4407 	EXP 	window1: mouseVisible = True
11.4409 	EXP 	window1: mouseVisible = True
11.4414 	EXP 	window1: mouseVisible = True
11.4418 	EXP 	window1: mouseVisible = True
11.4496 	EXP 	window1: mouseVisible = True
11.4497 	EXP 	window1: mouseVisible = True
11.4502 	EXP 	window1: mouseVisible = True
11.4506 	EXP 	window1: mouseVisible = True
11.4909 	EXP 	window1: mouseVisible = True
11.5054 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.5057 	EXP 	window1: mouseVisible = True
11.5059 	EXP 	window1: mouseVisible = True
11.5064 	EXP 	window1: mouseVisible = True
11.5069 	EXP 	window1: mouseVisible = True
11.5106 	EXP 	window1: mouseVisible = True
11.5108 	EXP 	window1: mouseVisible = True
11.5113 	EXP 	window1: mouseVisible = True
11.5118 	EXP 	window1: mouseVisible = True
11.5512 	EXP 	window1: mouseVisible = True
11.5563 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='How many skips were present in the task?', units='height', win=Window(...), wrapWidth=1)
11.5628 	EXP 	window1: mouseVisible = True
11.5632 	EXP 	window1: mouseVisible = True
11.5663 	EXP 	window1: mouseVisible = True
11.5681 	EXP 	window1: mouseVisible = True
11.5923 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([ 1,  2,  3,  4,  5,  6,  7,  8,  9, 10]), units='height', win=Window(...))
11.5924 	EXP 	window1: mouseVisible = True
11.5962 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0.  , 0.25]), rgb=UNKNOWN, text='How well do you think you did?', units='height', win=Window(...), wrapWidth=1)
11.5965 	EXP 	window1: mouseVisible = True
11.5966 	EXP 	window1: mouseVisible = True
11.5971 	EXP 	window1: mouseVisible = True
11.5977 	EXP 	window1: mouseVisible = True
11.6014 	EXP 	window1: mouseVisible = True
11.6015 	EXP 	window1: mouseVisible = True
11.6020 	EXP 	window1: mouseVisible = True
11.6026 	EXP 	window1: mouseVisible = True
11.6153 	EXP 	window1: mouseVisible = True
11.6226 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='Did you like the experiment? Any suggestions?', units='height', win=Window(...), wrapWidth=1)
11.6227 	EXP 	window1: mouseVisible = True
11.6319 	EXP 	Created instructions_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.6320 	EXP 	window1: mouseVisible = True
11.6442 	EXP 	Created clock_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='clock_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.9, 0.9]), texRes=128, units='height', win=Window(...))
11.6443 	EXP 	window1: mouseVisible = True
12.0829 	EXP 	Created fixation_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='images/00.png', interpolate=True, mask=None, maskParams=None, name='fixation_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.9, 0.9]), texRes=128, units='height', win=Window(...))
12.0831 	EXP 	window1: mouseVisible = True
12.0843 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.1637 	EXP 	window1: mouseVisible = True
12.1640 	EXP 	window1: mouseVisible = True
12.1648 	EXP 	window1: mouseVisible = True
12.1656 	EXP 	window1: mouseVisible = True
12.1698 	EXP 	window1: mouseVisible = True
12.1699 	EXP 	window1: mouseVisible = True
12.1704 	EXP 	window1: mouseVisible = True
12.1709 	EXP 	window1: mouseVisible = True
12.1741 	EXP 	window1: mouseVisible = True
12.1783 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.1786 	EXP 	window1: mouseVisible = True
12.1787 	EXP 	window1: mouseVisible = True
12.1792 	EXP 	window1: mouseVisible = True
12.1797 	EXP 	window1: mouseVisible = True
12.1831 	EXP 	window1: mouseVisible = True
12.1832 	EXP 	window1: mouseVisible = True
12.1837 	EXP 	window1: mouseVisible = True
12.1842 	EXP 	window1: mouseVisible = True
12.1874 	EXP 	window1: mouseVisible = True
12.1911 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='How many skips were present in the task?', units='height', win=Window(...), wrapWidth=1)
12.1947 	EXP 	window1: mouseVisible = True
12.1951 	EXP 	window1: mouseVisible = True
12.2002 	EXP 	window1: mouseVisible = True
12.2021 	EXP 	window1: mouseVisible = True
12.2257 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([ 1,  2,  3,  4,  5,  6,  7,  8,  9, 10]), units='height', win=Window(...))
12.2259 	EXP 	window1: mouseVisible = True
12.2293 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0.  , 0.25]), rgb=UNKNOWN, text='How well do you think you did?', units='height', win=Window(...), wrapWidth=1)
12.2296 	EXP 	window1: mouseVisible = True
12.2297 	EXP 	window1: mouseVisible = True
12.2302 	EXP 	window1: mouseVisible = True
12.2307 	EXP 	window1: mouseVisible = True
12.2342 	EXP 	window1: mouseVisible = True
12.2343 	EXP 	window1: mouseVisible = True
12.2349 	EXP 	window1: mouseVisible = True
12.2354 	EXP 	window1: mouseVisible = True
12.2384 	EXP 	window1: mouseVisible = True
12.2430 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='Did you like the experiment? Any suggestions?', units='height', win=Window(...), wrapWidth=1)
12.2431 	EXP 	window1: mouseVisible = True
12.2489 	EXP 	Created thank_you = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank_you', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0880 	EXP 	duration: autoLog = True
0.0880 	EXP 	skips: autoLog = True
0.0880 	EXP 	slider: autoLog = True
0.0880 	EXP 	slider: styleTweaks = []
0.0880 	EXP 	slider: styleTweaks = []
0.0880 	EXP 	slider: styleTweaks = []
0.0880 	EXP 	slider: styleTweaks = []
0.0880 	EXP 	slider: contrast = 1.0
0.0880 	EXP 	slider: markerPos = None
0.0880 	EXP 	slider: autoLog = True
0.0880 	EXP 	suggestions: autoLog = True
0.0880 	EXP 	duration: autoLog = True
0.0880 	EXP 	skips: autoLog = True
0.0880 	EXP 	slider: autoLog = True
0.0880 	EXP 	slider: styleTweaks = []
0.0880 	EXP 	slider: styleTweaks = []
0.0880 	EXP 	slider: styleTweaks = []
0.0880 	EXP 	slider: styleTweaks = []
0.0880 	EXP 	slider: contrast = 1.0
0.0880 	EXP 	slider: markerPos = None
0.0880 	EXP 	slider: autoLog = True
0.0880 	EXP 	suggestions: autoLog = True
0.0962 	EXP 	instructions: autoDraw = True
1.2654 	EXP 	Imported conditions.xlsx as conditions, 45 conditions, 2 params
1.2661 	EXP 	Created sequence: sequential, trialTypes=45, nReps=1, seed=None
1.2663 	EXP 	New trial (rep=0, index=0): {'picture': 'images/01.png', 'corrAns': None}
1.4644 	EXP 	Sound  started
1.4671 	DATA 	Keypress: space
1.4694 	EXP 	instructions: autoDraw = False
1.4694 	EXP 	clock: image = 'images/01.png'
1.4694 	EXP 	clock: autoDraw = True
1.4694 	EXP 	fixation: autoDraw = True
1.4694 	EXP 	text: autoDraw = True
1.4694 	EXP 	text: height = 0.05
1.4694 	EXP 	text: height = 0.05
1.4694 	EXP 	text: height = 0.05
1.4694 	EXP 	text: text = ''
2.4701 	EXP 	clock: autoDraw = False
3.2629 	EXP 	New trial (rep=0, index=1): {'picture': 'images/02.png', 'corrAns': None}
3.3227 	EXP 	clock: autoDraw = False
3.3227 	EXP 	fixation: autoDraw = False
3.3227 	EXP 	text: autoDraw = False
3.3227 	EXP 	clock: image = 'images/02.png'
3.3227 	EXP 	clock: autoDraw = True
3.3227 	EXP 	fixation: autoDraw = True
3.3227 	EXP 	text: autoDraw = True
4.3242 	EXP 	clock: autoDraw = False
4.4384 	DATA 	Keypress: lwindows
5.2586 	EXP 	New trial (rep=0, index=2): {'picture': 'images/03.png', 'corrAns': None}
5.3212 	EXP 	clock: autoDraw = False
5.3212 	EXP 	fixation: autoDraw = False
5.3212 	EXP 	text: autoDraw = False
5.3212 	EXP 	clock: image = 'images/03.png'
5.3212 	EXP 	clock: autoDraw = True
5.3212 	EXP 	fixation: autoDraw = True
5.3212 	EXP 	text: autoDraw = True
5.4107 	DATA 	Keypress: lwindows
6.3275 	EXP 	clock: autoDraw = False
7.2574 	EXP 	New trial (rep=0, index=3): {'picture': 'images/05.png', 'corrAns': 'space'}
7.3177 	EXP 	clock: autoDraw = False
7.3177 	EXP 	fixation: autoDraw = False
7.3177 	EXP 	text: autoDraw = False
7.3177 	EXP 	clock: image = 'images/05.png'
7.3177 	EXP 	clock: autoDraw = True
7.3177 	EXP 	fixation: autoDraw = True
7.3177 	EXP 	text: autoDraw = True
8.3263 	EXP 	clock: autoDraw = False
9.2637 	EXP 	New trial (rep=0, index=4): {'picture': 'images/06.png', 'corrAns': None}
9.3421 	EXP 	clock: autoDraw = False
9.3421 	EXP 	fixation: autoDraw = False
9.3421 	EXP 	text: autoDraw = False
9.3421 	EXP 	clock: image = 'images/06.png'
9.3421 	EXP 	clock: autoDraw = True
9.3421 	EXP 	fixation: autoDraw = True
9.3421 	EXP 	text: autoDraw = True
10.3689 	EXP 	clock: autoDraw = False
11.2608 	EXP 	New trial (rep=0, index=5): {'picture': 'images/08.png', 'corrAns': 'space'}
11.3202 	EXP 	clock: autoDraw = False
11.3202 	EXP 	fixation: autoDraw = False
11.3202 	EXP 	text: autoDraw = False
11.3202 	EXP 	clock: image = 'images/08.png'
11.3202 	EXP 	clock: autoDraw = True
11.3202 	EXP 	fixation: autoDraw = True
11.3202 	EXP 	text: autoDraw = True
12.3416 	EXP 	clock: autoDraw = False
13.2627 	EXP 	New trial (rep=0, index=6): {'picture': 'images/10.png', 'corrAns': 'space'}
13.3396 	EXP 	clock: autoDraw = False
13.3396 	EXP 	fixation: autoDraw = False
13.3396 	EXP 	text: autoDraw = False
13.3396 	EXP 	clock: image = 'images/10.png'
13.3396 	EXP 	clock: autoDraw = True
13.3396 	EXP 	fixation: autoDraw = True
13.3396 	EXP 	text: autoDraw = True
14.3551 	EXP 	clock: autoDraw = False
15.2691 	EXP 	New trial (rep=0, index=7): {'picture': 'images/11.png', 'corrAns': None}
15.3522 	EXP 	clock: autoDraw = False
15.3522 	EXP 	fixation: autoDraw = False
15.3522 	EXP 	text: autoDraw = False
15.3522 	EXP 	clock: image = 'images/11.png'
15.3522 	EXP 	clock: autoDraw = True
15.3522 	EXP 	fixation: autoDraw = True
15.3522 	EXP 	text: autoDraw = True
16.3575 	EXP 	clock: autoDraw = False
17.2611 	EXP 	New trial (rep=0, index=8): {'picture': 'images/13.png', 'corrAns': 'space'}
17.3229 	EXP 	clock: autoDraw = False
17.3229 	EXP 	fixation: autoDraw = False
17.3229 	EXP 	text: autoDraw = False
17.3229 	EXP 	clock: image = 'images/13.png'
17.3229 	EXP 	clock: autoDraw = True
17.3229 	EXP 	fixation: autoDraw = True
17.3229 	EXP 	text: autoDraw = True
18.3227 	EXP 	clock: autoDraw = False
19.2606 	EXP 	New trial (rep=0, index=9): {'picture': 'images/14.png', 'corrAns': None}
19.3204 	EXP 	clock: autoDraw = False
19.3204 	EXP 	fixation: autoDraw = False
19.3204 	EXP 	text: autoDraw = False
19.3204 	EXP 	clock: image = 'images/14.png'
19.3204 	EXP 	clock: autoDraw = True
19.3204 	EXP 	fixation: autoDraw = True
19.3204 	EXP 	text: autoDraw = True
20.3231 	EXP 	clock: autoDraw = False
21.2610 	EXP 	New trial (rep=0, index=10): {'picture': 'images/15.png', 'corrAns': None}
21.3193 	EXP 	clock: autoDraw = False
21.3193 	EXP 	fixation: autoDraw = False
21.3193 	EXP 	text: autoDraw = False
21.3193 	EXP 	clock: image = 'images/15.png'
21.3193 	EXP 	clock: autoDraw = True
21.3193 	EXP 	fixation: autoDraw = True
21.3193 	EXP 	text: autoDraw = True
22.3228 	EXP 	clock: autoDraw = False
23.2633 	EXP 	New trial (rep=0, index=11): {'picture': 'images/16.png', 'corrAns': None}
23.3245 	EXP 	clock: autoDraw = False
23.3245 	EXP 	fixation: autoDraw = False
23.3245 	EXP 	text: autoDraw = False
23.3245 	EXP 	clock: image = 'images/16.png'
23.3245 	EXP 	clock: autoDraw = True
23.3245 	EXP 	fixation: autoDraw = True
23.3245 	EXP 	text: autoDraw = True
24.3349 	EXP 	clock: autoDraw = False
25.2609 	EXP 	New trial (rep=0, index=12): {'picture': 'images/18.png', 'corrAns': 'space'}
25.3211 	EXP 	clock: autoDraw = False
25.3211 	EXP 	fixation: autoDraw = False
25.3211 	EXP 	text: autoDraw = False
25.3211 	EXP 	clock: image = 'images/18.png'
25.3211 	EXP 	clock: autoDraw = True
25.3211 	EXP 	fixation: autoDraw = True
25.3211 	EXP 	text: autoDraw = True
26.3231 	EXP 	clock: autoDraw = False
27.2610 	EXP 	New trial (rep=0, index=13): {'picture': 'images/20.png', 'corrAns': 'space'}
27.3224 	EXP 	clock: autoDraw = False
27.3224 	EXP 	fixation: autoDraw = False
27.3224 	EXP 	text: autoDraw = False
27.3224 	EXP 	clock: image = 'images/20.png'
27.3224 	EXP 	clock: autoDraw = True
27.3224 	EXP 	fixation: autoDraw = True
27.3224 	EXP 	text: autoDraw = True
28.3315 	EXP 	clock: autoDraw = False
29.2610 	EXP 	New trial (rep=0, index=14): {'picture': 'images/21.png', 'corrAns': None}
29.3248 	EXP 	clock: autoDraw = False
29.3248 	EXP 	fixation: autoDraw = False
29.3248 	EXP 	text: autoDraw = False
29.3248 	EXP 	clock: image = 'images/21.png'
29.3248 	EXP 	clock: autoDraw = True
29.3248 	EXP 	fixation: autoDraw = True
29.3248 	EXP 	text: autoDraw = True
30.3297 	EXP 	clock: autoDraw = False
31.2603 	EXP 	New trial (rep=0, index=15): {'picture': 'images/22.png', 'corrAns': None}
31.3149 	EXP 	clock: autoDraw = False
31.3149 	EXP 	fixation: autoDraw = False
31.3149 	EXP 	text: autoDraw = False
31.3149 	EXP 	clock: image = 'images/22.png'
31.3149 	EXP 	clock: autoDraw = True
31.3149 	EXP 	fixation: autoDraw = True
31.3149 	EXP 	text: autoDraw = True
32.3159 	EXP 	clock: autoDraw = False
33.2605 	EXP 	New trial (rep=0, index=16): {'picture': 'images/23.png', 'corrAns': None}
33.3309 	EXP 	clock: autoDraw = False
33.3309 	EXP 	fixation: autoDraw = False
33.3309 	EXP 	text: autoDraw = False
33.3309 	EXP 	clock: image = 'images/23.png'
33.3309 	EXP 	clock: autoDraw = True
33.3309 	EXP 	fixation: autoDraw = True
33.3309 	EXP 	text: autoDraw = True
34.3362 	EXP 	clock: autoDraw = False
35.2603 	EXP 	New trial (rep=0, index=17): {'picture': 'images/24.png', 'corrAns': None}
35.3222 	EXP 	clock: autoDraw = False
35.3222 	EXP 	fixation: autoDraw = False
35.3222 	EXP 	text: autoDraw = False
35.3222 	EXP 	clock: image = 'images/24.png'
35.3222 	EXP 	clock: autoDraw = True
35.3222 	EXP 	fixation: autoDraw = True
35.3222 	EXP 	text: autoDraw = True
36.3225 	EXP 	clock: autoDraw = False
37.2605 	EXP 	New trial (rep=0, index=18): {'picture': 'images/25.png', 'corrAns': None}
37.3241 	EXP 	clock: autoDraw = False
37.3241 	EXP 	fixation: autoDraw = False
37.3241 	EXP 	text: autoDraw = False
37.3241 	EXP 	clock: image = 'images/25.png'
37.3241 	EXP 	clock: autoDraw = True
37.3241 	EXP 	fixation: autoDraw = True
37.3241 	EXP 	text: autoDraw = True
38.3294 	EXP 	clock: autoDraw = False
39.2606 	EXP 	New trial (rep=0, index=19): {'picture': 'images/27.png', 'corrAns': 'space'}
39.3165 	EXP 	clock: autoDraw = False
39.3165 	EXP 	fixation: autoDraw = False
39.3165 	EXP 	text: autoDraw = False
39.3165 	EXP 	clock: image = 'images/27.png'
39.3165 	EXP 	clock: autoDraw = True
39.3165 	EXP 	fixation: autoDraw = True
39.3165 	EXP 	text: autoDraw = True
40.3153 	EXP 	clock: autoDraw = False
41.2608 	EXP 	New trial (rep=0, index=20): {'picture': 'images/28.png', 'corrAns': None}
41.3239 	EXP 	clock: autoDraw = False
41.3239 	EXP 	fixation: autoDraw = False
41.3239 	EXP 	text: autoDraw = False
41.3239 	EXP 	clock: image = 'images/28.png'
41.3239 	EXP 	clock: autoDraw = True
41.3239 	EXP 	fixation: autoDraw = True
41.3239 	EXP 	text: autoDraw = True
42.3379 	EXP 	clock: autoDraw = False
43.2635 	EXP 	New trial (rep=0, index=21): {'picture': 'images/29.png', 'corrAns': None}
43.3202 	EXP 	clock: autoDraw = False
43.3202 	EXP 	fixation: autoDraw = False
43.3202 	EXP 	text: autoDraw = False
43.3202 	EXP 	clock: image = 'images/29.png'
43.3202 	EXP 	clock: autoDraw = True
43.3202 	EXP 	fixation: autoDraw = True
43.3202 	EXP 	text: autoDraw = True
44.3399 	EXP 	clock: autoDraw = False
45.2614 	EXP 	New trial (rep=0, index=22): {'picture': 'images/31.png', 'corrAns': 'space'}
45.3280 	EXP 	clock: autoDraw = False
45.3280 	EXP 	fixation: autoDraw = False
45.3280 	EXP 	text: autoDraw = False
45.3280 	EXP 	clock: image = 'images/31.png'
45.3280 	EXP 	clock: autoDraw = True
45.3280 	EXP 	fixation: autoDraw = True
45.3280 	EXP 	text: autoDraw = True
46.3493 	EXP 	clock: autoDraw = False
47.2603 	EXP 	New trial (rep=0, index=23): {'picture': 'images/32.png', 'corrAns': None}
47.3250 	EXP 	clock: autoDraw = False
47.3250 	EXP 	fixation: autoDraw = False
47.3250 	EXP 	text: autoDraw = False
47.3250 	EXP 	clock: image = 'images/32.png'
47.3250 	EXP 	clock: autoDraw = True
